"","MUNICIPIO","iteracion","ranking"
"186","Calnali","Km,6",67
"187","Calnali","Km,8",67
"188","Calnali","Km,10",67
"189","Calnali","Km,12",67
"190","Calnali","Km,14",67
"191","Calnali","Km,16",67
"192","Calnali","Km,18",67
"193","Calnali","Km,20",67
"194","Calnali","Km,22",67
"195","Calnali","Km,24",67
"196","Calnali","Km,26",67
"197","Cardonal","Km, 0",56
"198","Cardonal","Km,2",35
"199","Cardonal","Km,4",35
"200","Cardonal","Km,6",34
"201","Cardonal","Km,8",34
"202","Cardonal","Km,10",34
"203","Cardonal","Km,12",34
"204","Cardonal","Km,14",35
"205","Cardonal","Km,16",35
"206","Cardonal","Km,18",34
"207","Cardonal","Km,20",34
"208","Cardonal","Km,22",34
"209","Cardonal","Km,24",33
"210","Cardonal","Km,26",33
"211","Cuautepec","Km, 0",15
"212","Cuautepec","Km,2",29
"213","Cuautepec","Km,4",29
"214","Cuautepec","Km,6",28
"215","Cuautepec","Km,8",27
"216","Cuautepec","Km,10",26
"217","Cuautepec","Km,12",26
"218","Cuautepec","Km,14",25
"219","Cuautepec","Km,16",24
"220","Cuautepec","Km,18",24
"221","Cuautepec","Km,20",24
"222","Cuautepec","Km,22",23
"223","Cuautepec","Km,24",24
"224","Cuautepec","Km,26",24
"225","Chapantongo","Km, 0",72
"226","Chapantongo","Km,2",20
"227","Chapantongo","Km,4",23
"228","Chapantongo","Km,6",23
"229","Chapantongo","Km,8",25
"230","Chapantongo","Km,10",25
"231","Chapantongo","Km,12",24
"232","Chapantongo","Km,14",24
"233","Chapantongo","Km,16",25
"234","Chapantongo","Km,18",25
"235","Chapantongo","Km,20",25
"236","Chapantongo","Km,22",24
"237","Chapantongo","Km,24",23
"238","Chapantongo","Km,26",23
"239","Chapulhuacan","Km, 0",57
"240","Chapulhuacan","Km,2",64
"241","Chapulhuacan","Km,4",70
"242","Chapulhuacan","Km,6",70
"243","Chapulhuacan","Km,8",70
"244","Chapulhuacan","Km,10",71
"245","Chapulhuacan","Km,12",71
"246","Chapulhuacan","Km,14",71
"247","Chapulhuacan","Km,16",71
"248","Chapulhuacan","Km,18",71
"249","Chapulhuacan","Km,20",71
"250","Chapulhuacan","Km,22",71
"251","Chapulhuacan","Km,24",71
"252","Chapulhuacan","Km,26",71
"253","Chilcuautla","Km, 0",33
"254","Chilcuautla","Km,2",57
"255","Chilcuautla","Km,4",55
"256","Chilcuautla","Km,6",54
"257","Chilcuautla","Km,8",53
"258","Chilcuautla","Km,10",52
"259","Chilcuautla","Km,12",51
"260","Chilcuautla","Km,14",51
"261","Chilcuautla","Km,16",51
"262","Chilcuautla","Km,18",51
"263","Chilcuautla","Km,20",51
"264","Chilcuautla","Km,22",51
"265","Chilcuautla","Km,24",51
"266","Chilcuautla","Km,26",51
"267","Eloxochitlan","Km, 0",47
"268","Eloxochitlan","Km,2",71
"269","Eloxochitlan","Km,4",71
"270","Eloxochitlan","Km,6",71
"271","Eloxochitlan","Km,8",71
"272","Eloxochitlan","Km,10",70
"273","Eloxochitlan","Km,12",70
"274","Eloxochitlan","Km,14",70
"275","Eloxochitlan","Km,16",70
"276","Eloxochitlan","Km,18",70
"277","Eloxochitlan","Km,20",70
"278","Eloxochitlan","Km,22",70
"279","Eloxochitlan","Km,24",70
"280","Eloxochitlan","Km,26",70
"281","Emiliano Zapata","Km, 0",39
"282","Emiliano Zapata","Km,2",22
"283","Emiliano Zapata","Km,4",16
"284","Emiliano Zapata","Km,6",15
"285","Emiliano Zapata","Km,8",16
"286","Emiliano Zapata","Km,10",17
"287","Emiliano Zapata","Km,12",17
"288","Emiliano Zapata","Km,14",17
"289","Emiliano Zapata","Km,16",17
"290","Emiliano Zapata","Km,18",17
"291","Emiliano Zapata","Km,20",18
"292","Emiliano Zapata","Km,22",18
"293","Emiliano Zapata","Km,24",18
"294","Emiliano Zapata","Km,26",18
"295","Epazoyucan","Km, 0",67
"296","Epazoyucan","Km,2",33
"297","Epazoyucan","Km,4",30
"298","Epazoyucan","Km,6",30
"299","Epazoyucan","Km,8",30
"300","Epazoyucan","Km,10",30
"301","Epazoyucan","Km,12",30
"302","Epazoyucan","Km,14",30
"303","Epazoyucan","Km,16",30
"304","Epazoyucan","Km,18",31
"305","Epazoyucan","Km,20",31
"306","Epazoyucan","Km,22",31
"307","Epazoyucan","Km,24",31
"308","Epazoyucan","Km,26",31
"309","Francisco I.Madero","Km, 0",34
"310","Francisco I.Madero","Km,2",49
"311","Francisco I.Madero","Km,4",46
"312","Francisco I.Madero","Km,6",45
"313","Francisco I.Madero","Km,8",45
"314","Francisco I.Madero","Km,10",45
"315","Francisco I.Madero","Km,12",44
"316","Francisco I.Madero","Km,14",44
"317","Francisco I.Madero","Km,16",44
"318","Francisco I.Madero","Km,18",44
"319","Francisco I.Madero","Km,20",44
"320","Francisco I.Madero","Km,22",44
"321","Francisco I.Madero","Km,24",44
"322","Francisco I.Madero","Km,26",44
